match,team_a,team_b,team_a_points,team_b_points,winner
BRA_vs_FRA,BRA,FRA,68,50,BRA
BRA_vs_ITA,BRA,ITA,69,72,ITA
BRA_vs_JPN,BRA,JPN,76,66,BRA
BRA_vs_POL,BRA,POL,69,59,BRA
BRA_vs_SLO,BRA,SLO,70,64,BRA
BRA_vs_USA,BRA,USA,69,69,USA
FRA_vs_ITA,FRA,ITA,54,77,ITA
FRA_vs_JPN,FRA,JPN,79,64,FRA
FRA_vs_POL,FRA,POL,58,74,POL
FRA_vs_SLO,FRA,SLO,66,75,SLO
FRA_vs_USA,FRA,USA,65,74,USA
ITA_vs_JPN,ITA,JPN,75,64,ITA
ITA_vs_POL,ITA,POL,73,52,ITA
ITA_vs_SLO,ITA,SLO,69,53,ITA
ITA_vs_USA,ITA,USA,79,73,ITA
JPN_vs_POL,JPN,POL,69,63,JPN
JPN_vs_SLO,JPN,SLO,60,73,SLO
JPN_vs_USA,JPN,USA,65,70,USA
POL_vs_SLO,POL,SLO,58,76,SLO
POL_vs_USA,POL,USA,67,68,USA
SLO_vs_USA,SLO,USA,58,69,USA
