rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,BRA,R1,JUMP,win,1,0,BRA_vs_FRA,2
2,BRA,R1,JUMP,win,2,0,BRA_vs_FRA,2
3,FRA,R1,FLOAT,loss,2,1,BRA_vs_FRA,2
4,BRA,R2,JUMP,loss,3,1,BRA_vs_FRA,2
5,FRA,R2,JUMP,loss,3,2,BRA_vs_FRA,2
6,FRA,R3,FLOAT,win,3,3,BRA_vs_FRA,2
7,BRA,R3,JUMP,loss,4,3,BRA_vs_FRA,2
8,FRA,R3,FLOAT,loss,4,4,BRA_vs_FRA,2
9,BRA,R4,JUMP,loss,5,4,BRA_vs_FRA,2
10,BRA,R4,JUMP,win,6,4,BRA_vs_FRA,2
11,FRA,R4,JUMP,loss,6,5,BRA_vs_FRA,2
12,BRA,R5,JUMP,loss,7,5,BRA_vs_FRA,2
13,BRA,R5,JUMP,win,8,5,BRA_vs_FRA,2
14,FRA,R5,JUMP,loss,8,6,BRA_vs_FRA,2
15,BRA,R6,FLOAT,loss,9,6,BRA_vs_FRA,2
16,BRA,R6,JUMP,win,10,6,BRA_vs_FRA,2
17,BRA,R6,JUMP,win,11,6,BRA_vs_FRA,2
18,BRA,R6,HYBRID,win,12,6,BRA_vs_FRA,2
19,BRA,R6,JUMP,win,13,6,BRA_vs_FRA,2
20,BRA,R6,JUMP,win,14,6,BRA_vs_FRA,2
21,BRA,R6,JUMP,win,15,6,BRA_vs_FRA,2
