rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,ITA,R1,HYBRID,loss,0,1,BRA_vs_ITA,5
2,BRA,R2,JUMP,loss,1,1,BRA_vs_ITA,5
3,BRA,R2,JUMP,win,2,1,BRA_vs_ITA,5
4,ITA,R2,JUMP,loss,2,2,BRA_vs_ITA,5
5,BRA,R3,FLOAT,loss,3,2,BRA_vs_ITA,5
6,ITA,R3,HYBRID,loss,3,3,BRA_vs_ITA,5
7,ITA,R4,JUMP,win,3,4,BRA_vs_ITA,5
8,ITA,R4,JUMP,win,3,5,BRA_vs_ITA,5
9,BRA,R4,JUMP,loss,4,5,BRA_vs_ITA,5
10,BRA,R4,JUMP,win,5,5,BRA_vs_ITA,5
11,ITA,R4,JUMP,loss,5,6,BRA_vs_ITA,5
12,BRA,R5,JUMP,loss,6,6,BRA_vs_ITA,5
13,ITA,R5,JUMP,loss,6,7,BRA_vs_ITA,5
14,BRA,R6,FLOAT,loss,7,7,BRA_vs_ITA,5
15,ITA,R6,JUMP,loss,7,8,BRA_vs_ITA,5
16,BRA,R1,JUMP,loss,8,8,BRA_vs_ITA,5
17,BRA,R1,FLOAT,win,9,8,BRA_vs_ITA,5
18,ITA,R1,FLOAT,loss,9,9,BRA_vs_ITA,5
19,ITA,R2,JUMP,win,9,10,BRA_vs_ITA,5
20,BRA,R2,JUMP,loss,10,10,BRA_vs_ITA,5
21,BRA,R2,JUMP,win,11,10,BRA_vs_ITA,5
22,ITA,R2,JUMP,loss,11,11,BRA_vs_ITA,5
23,BRA,R3,FLOAT,loss,12,11,BRA_vs_ITA,5
24,ITA,R3,FLOAT,loss,12,12,BRA_vs_ITA,5
25,ITA,R4,JUMP,win,12,13,BRA_vs_ITA,5
26,BRA,R4,JUMP,loss,13,13,BRA_vs_ITA,5
27,BRA,R4,JUMP,win,14,13,BRA_vs_ITA,5
28,BRA,R4,JUMP,win,15,13,BRA_vs_ITA,5
