rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,BRA,R1,FLOAT,win,1,0,BRA_vs_JPN,5
2,BRA,R1,JUMP,win,2,0,BRA_vs_JPN,5
3,BRA,R1,JUMP,win,3,0,BRA_vs_JPN,5
4,JPN,R1,JUMP,loss,3,1,BRA_vs_JPN,5
5,BRA,R2,JUMP,loss,4,1,BRA_vs_JPN,5
6,JPN,R2,JUMP,loss,4,2,BRA_vs_JPN,5
7,JPN,R3,FLOAT,win,4,3,BRA_vs_JPN,5
8,BRA,R3,FLOAT,loss,5,3,BRA_vs_JPN,5
9,BRA,R3,FLOAT,win,6,3,BRA_vs_JPN,5
10,BRA,R3,FLOAT,win,7,3,BRA_vs_JPN,5
11,JPN,R3,FLOAT,loss,7,4,BRA_vs_JPN,5
12,JPN,R4,JUMP,win,7,5,BRA_vs_JPN,5
13,BRA,R4,JUMP,loss,8,5,BRA_vs_JPN,5
14,BRA,R4,JUMP,win,9,5,BRA_vs_JPN,5
15,JPN,R4,JUMP,loss,9,6,BRA_vs_JPN,5
16,JPN,R5,HYBRID,win,9,7,BRA_vs_JPN,5
17,BRA,R5,JUMP,loss,10,7,BRA_vs_JPN,5
18,JPN,R5,HYBRID,loss,10,8,BRA_vs_JPN,5
19,JPN,R6,FLOAT,win,10,9,BRA_vs_JPN,5
20,BRA,R6,JUMP,loss,11,9,BRA_vs_JPN,5
21,JPN,R6,JUMP,loss,11,10,BRA_vs_JPN,5
22,BRA,R1,FLOAT,loss,12,10,BRA_vs_JPN,5
23,JPN,R1,FLOAT,loss,12,11,BRA_vs_JPN,5
24,BRA,R2,JUMP,loss,13,11,BRA_vs_JPN,5
25,JPN,R2,JUMP,loss,13,12,BRA_vs_JPN,5
26,BRA,R3,FLOAT,loss,14,12,BRA_vs_JPN,5
27,JPN,R3,FLOAT,loss,14,13,BRA_vs_JPN,5
28,JPN,R4,JUMP,win,14,14,BRA_vs_JPN,5
29,BRA,R4,JUMP,loss,15,14,BRA_vs_JPN,5
30,BRA,R4,JUMP,win,16,14,BRA_vs_JPN,5
