rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,POL,R1,FLOAT,loss,0,1,BRA_vs_POL,3
2,POL,R2,JUMP,win,0,2,BRA_vs_POL,3
3,POL,R2,JUMP,win,0,3,BRA_vs_POL,3
4,POL,R2,JUMP,win,0,4,BRA_vs_POL,3
5,BRA,R2,JUMP,loss,1,4,BRA_vs_POL,3
6,POL,R2,JUMP,loss,1,5,BRA_vs_POL,3
7,POL,R3,JUMP,win,1,6,BRA_vs_POL,3
8,BRA,R3,JUMP,loss,2,6,BRA_vs_POL,3
9,BRA,R3,FLOAT,win,3,6,BRA_vs_POL,3
10,BRA,R3,FLOAT,win,4,6,BRA_vs_POL,3
11,POL,R3,FLOAT,loss,4,7,BRA_vs_POL,3
12,BRA,R4,JUMP,loss,5,7,BRA_vs_POL,3
13,BRA,R4,JUMP,win,6,7,BRA_vs_POL,3
14,BRA,R4,JUMP,win,7,7,BRA_vs_POL,3
15,BRA,R4,JUMP,win,8,7,BRA_vs_POL,3
16,BRA,R4,JUMP,win,9,7,BRA_vs_POL,3
17,BRA,R4,JUMP,win,10,7,BRA_vs_POL,3
18,BRA,R4,HYBRID,win,11,7,BRA_vs_POL,3
19,BRA,R4,JUMP,win,12,7,BRA_vs_POL,3
20,BRA,R4,JUMP,win,13,7,BRA_vs_POL,3
21,BRA,R4,JUMP,win,14,7,BRA_vs_POL,3
22,POL,R4,JUMP,loss,14,8,BRA_vs_POL,3
23,BRA,R5,JUMP,loss,15,8,BRA_vs_POL,3
