rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,BRA,R1,FLOAT,win,1,0,BRA_vs_SLO,4
2,SLO,R1,HYBRID,loss,1,1,BRA_vs_SLO,4
3,SLO,R2,JUMP,win,1,2,BRA_vs_SLO,4
4,BRA,R2,JUMP,loss,2,2,BRA_vs_SLO,4
5,SLO,R2,JUMP,loss,2,3,BRA_vs_SLO,4
6,BRA,R3,FLOAT,loss,3,3,BRA_vs_SLO,4
7,SLO,R3,FLOAT,loss,3,4,BRA_vs_SLO,4
8,BRA,R4,JUMP,loss,4,4,BRA_vs_SLO,4
9,SLO,R4,JUMP,loss,4,5,BRA_vs_SLO,4
10,BRA,R5,JUMP,loss,5,5,BRA_vs_SLO,4
11,SLO,R5,JUMP,loss,5,6,BRA_vs_SLO,4
12,BRA,R6,JUMP,loss,6,6,BRA_vs_SLO,4
13,SLO,R6,JUMP,loss,6,7,BRA_vs_SLO,4
14,BRA,R1,FLOAT,loss,7,7,BRA_vs_SLO,4
15,SLO,R1,JUMP,loss,7,8,BRA_vs_SLO,4
16,BRA,R2,JUMP,loss,8,8,BRA_vs_SLO,4
17,SLO,R2,JUMP,loss,8,9,BRA_vs_SLO,4
18,BRA,R3,JUMP,loss,9,9,BRA_vs_SLO,4
19,SLO,R3,FLOAT,loss,9,10,BRA_vs_SLO,4
20,SLO,R4,JUMP,win,9,11,BRA_vs_SLO,4
21,SLO,R4,JUMP,win,9,12,BRA_vs_SLO,4
22,BRA,R4,JUMP,loss,10,12,BRA_vs_SLO,4
23,SLO,R4,JUMP,loss,10,13,BRA_vs_SLO,4
24,BRA,R5,JUMP,loss,11,13,BRA_vs_SLO,4
25,SLO,R5,JUMP,loss,11,14,BRA_vs_SLO,4
26,BRA,R6,HYBRID,loss,12,14,BRA_vs_SLO,4
27,SLO,R6,JUMP,loss,12,15,BRA_vs_SLO,4
