rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,BRA,R1,FLOAT,win,1,0,BRA_vs_USA,2
2,BRA,R1,HYBRID,win,2,0,BRA_vs_USA,2
3,USA,R1,FLOAT,loss,2,1,BRA_vs_USA,2
4,USA,R2,JUMP,win,2,2,BRA_vs_USA,2
5,USA,R2,HYBRID,win,2,3,BRA_vs_USA,2
6,USA,R2,JUMP,win,2,4,BRA_vs_USA,2
7,BRA,R2,JUMP,loss,3,4,BRA_vs_USA,2
8,BRA,R2,JUMP,win,4,4,BRA_vs_USA,2
9,USA,R2,JUMP,loss,4,5,BRA_vs_USA,2
10,BRA,R3,JUMP,loss,5,5,BRA_vs_USA,2
11,USA,R3,FLOAT,loss,5,6,BRA_vs_USA,2
12,USA,R4,HYBRID,win,5,7,BRA_vs_USA,2
13,BRA,R4,JUMP,loss,6,7,BRA_vs_USA,2
14,USA,R4,JUMP,loss,6,8,BRA_vs_USA,2
15,BRA,R5,JUMP,loss,7,8,BRA_vs_USA,2
16,USA,R5,JUMP,loss,7,9,BRA_vs_USA,2
17,BRA,R6,JUMP,loss,8,9,BRA_vs_USA,2
18,USA,R6,JUMP,loss,8,10,BRA_vs_USA,2
19,USA,R1,FLOAT,win,8,11,BRA_vs_USA,2
20,BRA,R1,JUMP,loss,9,11,BRA_vs_USA,2
21,USA,R1,FLOAT,loss,9,12,BRA_vs_USA,2
22,BRA,R2,JUMP,loss,10,12,BRA_vs_USA,2
23,BRA,R2,JUMP,win,11,12,BRA_vs_USA,2
24,USA,R2,JUMP,loss,11,13,BRA_vs_USA,2
25,BRA,R3,HYBRID,loss,12,13,BRA_vs_USA,2
26,USA,R3,FLOAT,loss,12,14,BRA_vs_USA,2
27,BRA,R4,JUMP,loss,13,14,BRA_vs_USA,2
28,USA,R4,JUMP,loss,13,15,BRA_vs_USA,2
