rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,ITA,R1,JUMP,loss,0,1,FRA_vs_ITA,2
2,FRA,R2,JUMP,loss,1,1,FRA_vs_ITA,2
3,ITA,R2,JUMP,loss,1,2,FRA_vs_ITA,2
4,FRA,R3,HYBRID,loss,2,2,FRA_vs_ITA,2
5,ITA,R3,FLOAT,loss,2,3,FRA_vs_ITA,2
6,FRA,R4,JUMP,loss,3,3,FRA_vs_ITA,2
7,ITA,R4,JUMP,loss,3,4,FRA_vs_ITA,2
8,ITA,R5,JUMP,win,3,5,FRA_vs_ITA,2
9,ITA,R5,JUMP,win,3,6,FRA_vs_ITA,2
10,FRA,R5,JUMP,loss,4,6,FRA_vs_ITA,2
11,ITA,R5,FLOAT,loss,4,7,FRA_vs_ITA,2
12,FRA,R6,FLOAT,loss,5,7,FRA_vs_ITA,2
13,ITA,R6,FLOAT,loss,5,8,FRA_vs_ITA,2
14,ITA,R1,JUMP,win,5,9,FRA_vs_ITA,2
15,FRA,R1,JUMP,loss,6,9,FRA_vs_ITA,2
16,ITA,R1,JUMP,loss,6,10,FRA_vs_ITA,2
17,FRA,R2,JUMP,loss,7,10,FRA_vs_ITA,2
18,ITA,R2,FLOAT,loss,7,11,FRA_vs_ITA,2
19,FRA,R3,FLOAT,loss,8,11,FRA_vs_ITA,2
20,FRA,R3,JUMP,win,9,11,FRA_vs_ITA,2
21,ITA,R3,HYBRID,loss,9,12,FRA_vs_ITA,2
22,ITA,R4,JUMP,win,9,13,FRA_vs_ITA,2
23,ITA,R4,JUMP,win,9,14,FRA_vs_ITA,2
24,ITA,R4,JUMP,win,9,15,FRA_vs_ITA,2
