rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,JPN,R1,HYBRID,loss,0,1,FRA_vs_JPN,3
2,FRA,R2,JUMP,loss,1,1,FRA_vs_JPN,3
3,FRA,R2,JUMP,win,2,1,FRA_vs_JPN,3
4,FRA,R2,JUMP,win,3,1,FRA_vs_JPN,3
5,JPN,R2,JUMP,loss,3,2,FRA_vs_JPN,3
6,FRA,R3,FLOAT,loss,4,2,FRA_vs_JPN,3
7,JPN,R3,JUMP,loss,4,3,FRA_vs_JPN,3
8,FRA,R4,JUMP,loss,5,3,FRA_vs_JPN,3
9,JPN,R4,JUMP,loss,5,4,FRA_vs_JPN,3
10,FRA,R5,JUMP,loss,6,4,FRA_vs_JPN,3
11,JPN,R5,FLOAT,loss,6,5,FRA_vs_JPN,3
12,FRA,R6,FLOAT,loss,7,5,FRA_vs_JPN,3
13,FRA,R6,FLOAT,win,8,5,FRA_vs_JPN,3
14,JPN,R6,FLOAT,loss,8,6,FRA_vs_JPN,3
15,FRA,R1,FLOAT,loss,9,6,FRA_vs_JPN,3
16,FRA,R1,HYBRID,win,10,6,FRA_vs_JPN,3
17,JPN,R1,JUMP,loss,10,7,FRA_vs_JPN,3
18,FRA,R2,JUMP,loss,11,7,FRA_vs_JPN,3
19,JPN,R2,FLOAT,loss,11,8,FRA_vs_JPN,3
20,JPN,R3,FLOAT,win,11,9,FRA_vs_JPN,3
21,JPN,R3,FLOAT,win,11,10,FRA_vs_JPN,3
22,FRA,R3,FLOAT,loss,12,10,FRA_vs_JPN,3
23,JPN,R3,JUMP,loss,12,11,FRA_vs_JPN,3
24,FRA,R4,JUMP,loss,13,11,FRA_vs_JPN,3
25,FRA,R4,JUMP,win,14,11,FRA_vs_JPN,3
26,JPN,R4,JUMP,loss,14,12,FRA_vs_JPN,3
27,FRA,R5,JUMP,loss,15,12,FRA_vs_JPN,3
