rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,POL,R1,JUMP,loss,0,1,FRA_vs_POL,2
2,FRA,R2,JUMP,loss,1,1,FRA_vs_POL,2
3,POL,R2,FLOAT,loss,1,2,FRA_vs_POL,2
4,POL,R3,JUMP,win,1,3,FRA_vs_POL,2
5,FRA,R3,JUMP,loss,2,3,FRA_vs_POL,2
6,POL,R3,FLOAT,loss,2,4,FRA_vs_POL,2
7,FRA,R4,JUMP,loss,3,4,FRA_vs_POL,2
8,FRA,R4,JUMP,win,4,4,FRA_vs_POL,2
9,POL,R4,JUMP,loss,4,5,FRA_vs_POL,2
10,POL,R5,JUMP,win,4,6,FRA_vs_POL,2
11,FRA,R5,JUMP,loss,5,6,FRA_vs_POL,2
12,POL,R5,FLOAT,loss,5,7,FRA_vs_POL,2
13,FRA,R6,HYBRID,loss,6,7,FRA_vs_POL,2
14,POL,R6,FLOAT,loss,6,8,FRA_vs_POL,2
15,FRA,R1,FLOAT,loss,7,8,FRA_vs_POL,2
16,FRA,R1,JUMP,win,8,8,FRA_vs_POL,2
17,FRA,R1,JUMP,win,9,8,FRA_vs_POL,2
18,POL,R1,JUMP,loss,9,9,FRA_vs_POL,2
19,FRA,R2,JUMP,loss,10,9,FRA_vs_POL,2
20,POL,R2,HYBRID,loss,10,10,FRA_vs_POL,2
21,FRA,R3,JUMP,loss,11,10,FRA_vs_POL,2
22,POL,R3,HYBRID,loss,11,11,FRA_vs_POL,2
23,FRA,R4,JUMP,loss,12,11,FRA_vs_POL,2
24,POL,R4,JUMP,loss,12,12,FRA_vs_POL,2
25,FRA,R5,JUMP,loss,13,12,FRA_vs_POL,2
26,POL,R5,JUMP,loss,13,13,FRA_vs_POL,2
27,POL,R6,HYBRID,win,13,14,FRA_vs_POL,2
28,FRA,R6,HYBRID,loss,14,14,FRA_vs_POL,2
29,POL,R6,FLOAT,loss,14,15,FRA_vs_POL,2
30,FRA,R1,FLOAT,loss,15,15,FRA_vs_POL,2
31,POL,R1,JUMP,loss,15,16,FRA_vs_POL,2
32,POL,R2,JUMP,win,15,17,FRA_vs_POL,2
