rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,FRA,R1,JUMP,win,1,0,FRA_vs_SLO,5
2,SLO,R1,JUMP,loss,1,1,FRA_vs_SLO,5
3,FRA,R2,JUMP,loss,2,1,FRA_vs_SLO,5
4,SLO,R2,FLOAT,loss,2,2,FRA_vs_SLO,5
5,FRA,R3,HYBRID,loss,3,2,FRA_vs_SLO,5
6,SLO,R3,JUMP,loss,3,3,FRA_vs_SLO,5
7,FRA,R4,JUMP,loss,4,3,FRA_vs_SLO,5
8,SLO,R4,JUMP,loss,4,4,FRA_vs_SLO,5
9,SLO,R5,JUMP,win,4,5,FRA_vs_SLO,5
10,FRA,R5,JUMP,loss,5,5,FRA_vs_SLO,5
11,SLO,R5,FLOAT,loss,5,6,FRA_vs_SLO,5
12,FRA,R6,JUMP,loss,6,6,FRA_vs_SLO,5
13,FRA,R6,FLOAT,win,7,6,FRA_vs_SLO,5
14,FRA,R6,FLOAT,win,8,6,FRA_vs_SLO,5
15,SLO,R6,FLOAT,loss,8,7,FRA_vs_SLO,5
16,FRA,R1,FLOAT,loss,9,7,FRA_vs_SLO,5
17,SLO,R1,JUMP,loss,9,8,FRA_vs_SLO,5
18,FRA,R2,JUMP,loss,10,8,FRA_vs_SLO,5
19,SLO,R2,FLOAT,loss,10,9,FRA_vs_SLO,5
20,FRA,R3,FLOAT,loss,11,9,FRA_vs_SLO,5
21,FRA,R3,JUMP,win,12,9,FRA_vs_SLO,5
22,SLO,R3,HYBRID,loss,12,10,FRA_vs_SLO,5
23,FRA,R4,JUMP,loss,13,10,FRA_vs_SLO,5
24,FRA,R4,JUMP,win,14,10,FRA_vs_SLO,5
25,FRA,R4,JUMP,win,15,10,FRA_vs_SLO,5
