rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,FRA,R1,FLOAT,win,1,0,FRA_vs_USA,3
2,USA,R1,JUMP,loss,1,1,FRA_vs_USA,3
3,FRA,R2,HYBRID,loss,2,1,FRA_vs_USA,3
4,USA,R2,FLOAT,loss,2,2,FRA_vs_USA,3
5,USA,R3,JUMP,win,2,3,FRA_vs_USA,3
6,USA,R3,JUMP,win,2,4,FRA_vs_USA,3
7,FRA,R3,FLOAT,loss,3,4,FRA_vs_USA,3
8,USA,R3,HYBRID,loss,3,5,FRA_vs_USA,3
9,FRA,R4,JUMP,loss,4,5,FRA_vs_USA,3
10,USA,R4,JUMP,loss,4,6,FRA_vs_USA,3
11,FRA,R5,JUMP,loss,5,6,FRA_vs_USA,3
12,USA,R5,JUMP,loss,5,7,FRA_vs_USA,3
13,FRA,R6,JUMP,loss,6,7,FRA_vs_USA,3
14,USA,R6,FLOAT,loss,6,8,FRA_vs_USA,3
15,FRA,R1,FLOAT,loss,7,8,FRA_vs_USA,3
16,USA,R1,FLOAT,loss,7,9,FRA_vs_USA,3
17,USA,R2,JUMP,win,7,10,FRA_vs_USA,3
18,FRA,R2,JUMP,loss,8,10,FRA_vs_USA,3
19,FRA,R2,JUMP,win,9,10,FRA_vs_USA,3
20,USA,R2,FLOAT,loss,9,11,FRA_vs_USA,3
21,USA,R3,FLOAT,win,9,12,FRA_vs_USA,3
22,FRA,R3,FLOAT,loss,10,12,FRA_vs_USA,3
23,USA,R3,JUMP,loss,10,13,FRA_vs_USA,3
24,FRA,R4,JUMP,loss,11,13,FRA_vs_USA,3
25,USA,R4,JUMP,loss,11,14,FRA_vs_USA,3
26,USA,R5,JUMP,win,11,15,FRA_vs_USA,3
