rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,ITA,R1,HYBRID,win,1,0,ITA_vs_JPN,1
2,JPN,R1,HYBRID,loss,1,1,ITA_vs_JPN,1
3,ITA,R2,JUMP,loss,2,1,ITA_vs_JPN,1
4,ITA,R2,JUMP,win,3,1,ITA_vs_JPN,1
5,JPN,R2,JUMP,loss,3,2,ITA_vs_JPN,1
6,JPN,R3,FLOAT,win,3,3,ITA_vs_JPN,1
7,ITA,R3,JUMP,loss,4,3,ITA_vs_JPN,1
8,ITA,R3,FLOAT,win,5,3,ITA_vs_JPN,1
9,JPN,R3,FLOAT,loss,5,4,ITA_vs_JPN,1
10,ITA,R4,JUMP,loss,6,4,ITA_vs_JPN,1
11,ITA,R4,JUMP,win,7,4,ITA_vs_JPN,1
12,JPN,R4,JUMP,loss,7,5,ITA_vs_JPN,1
13,ITA,R5,JUMP,loss,8,5,ITA_vs_JPN,1
14,ITA,R5,JUMP,win,9,5,ITA_vs_JPN,1
15,JPN,R5,HYBRID,loss,9,6,ITA_vs_JPN,1
16,ITA,R6,JUMP,loss,10,6,ITA_vs_JPN,1
17,JPN,R6,FLOAT,loss,10,7,ITA_vs_JPN,1
18,JPN,R1,HYBRID,win,10,8,ITA_vs_JPN,1
19,ITA,R1,FLOAT,loss,11,8,ITA_vs_JPN,1
20,JPN,R1,JUMP,loss,11,9,ITA_vs_JPN,1
21,JPN,R2,JUMP,win,11,10,ITA_vs_JPN,1
22,ITA,R2,JUMP,loss,12,10,ITA_vs_JPN,1
23,ITA,R2,JUMP,win,13,10,ITA_vs_JPN,1
24,JPN,R2,JUMP,loss,13,11,ITA_vs_JPN,1
25,ITA,R3,FLOAT,loss,14,11,ITA_vs_JPN,1
26,JPN,R3,FLOAT,loss,14,12,ITA_vs_JPN,1
27,ITA,R4,JUMP,loss,15,12,ITA_vs_JPN,1
