rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,POL,R1,JUMP,loss,0,1,ITA_vs_POL,5
2,POL,R2,HYBRID,win,0,2,ITA_vs_POL,5
3,POL,R2,JUMP,win,0,3,ITA_vs_POL,5
4,ITA,R2,JUMP,loss,1,3,ITA_vs_POL,5
5,POL,R2,JUMP,loss,1,4,ITA_vs_POL,5
6,ITA,R3,JUMP,loss,2,4,ITA_vs_POL,5
7,POL,R3,FLOAT,loss,2,5,ITA_vs_POL,5
8,ITA,R4,JUMP,loss,3,5,ITA_vs_POL,5
9,POL,R4,JUMP,loss,3,6,ITA_vs_POL,5
10,ITA,R5,JUMP,loss,4,6,ITA_vs_POL,5
11,ITA,R5,HYBRID,win,5,6,ITA_vs_POL,5
12,POL,R5,JUMP,loss,5,7,ITA_vs_POL,5
13,ITA,R6,FLOAT,loss,6,7,ITA_vs_POL,5
14,POL,R6,HYBRID,loss,6,8,ITA_vs_POL,5
15,POL,R1,FLOAT,win,6,9,ITA_vs_POL,5
16,ITA,R1,JUMP,loss,7,9,ITA_vs_POL,5
17,ITA,R1,JUMP,win,8,9,ITA_vs_POL,5
18,POL,R1,JUMP,loss,8,10,ITA_vs_POL,5
19,POL,R2,HYBRID,win,8,11,ITA_vs_POL,5
20,POL,R2,HYBRID,win,8,12,ITA_vs_POL,5
21,ITA,R2,HYBRID,loss,9,12,ITA_vs_POL,5
22,ITA,R2,JUMP,win,10,12,ITA_vs_POL,5
23,ITA,R2,JUMP,win,11,12,ITA_vs_POL,5
24,POL,R2,JUMP,loss,11,13,ITA_vs_POL,5
25,ITA,R3,JUMP,loss,12,13,ITA_vs_POL,5
26,POL,R3,FLOAT,loss,12,14,ITA_vs_POL,5
27,ITA,R4,JUMP,loss,13,14,ITA_vs_POL,5
28,POL,R4,JUMP,loss,13,15,ITA_vs_POL,5
