rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,SLO,R1,HYBRID,loss,0,1,ITA_vs_SLO,5
2,ITA,R2,JUMP,loss,1,1,ITA_vs_SLO,5
3,SLO,R2,JUMP,loss,1,2,ITA_vs_SLO,5
4,ITA,R3,FLOAT,loss,2,2,ITA_vs_SLO,5
5,SLO,R3,FLOAT,loss,2,3,ITA_vs_SLO,5
6,ITA,R4,JUMP,loss,3,3,ITA_vs_SLO,5
7,ITA,R4,JUMP,win,4,3,ITA_vs_SLO,5
8,SLO,R4,JUMP,loss,4,4,ITA_vs_SLO,5
9,ITA,R5,JUMP,loss,5,4,ITA_vs_SLO,5
10,ITA,R5,JUMP,win,6,4,ITA_vs_SLO,5
11,SLO,R5,JUMP,loss,6,5,ITA_vs_SLO,5
12,ITA,R6,JUMP,loss,7,5,ITA_vs_SLO,5
13,SLO,R6,FLOAT,loss,7,6,ITA_vs_SLO,5
14,SLO,R1,JUMP,win,7,7,ITA_vs_SLO,5
15,ITA,R1,JUMP,loss,8,7,ITA_vs_SLO,5
16,ITA,R1,HYBRID,win,9,7,ITA_vs_SLO,5
17,SLO,R1,JUMP,loss,9,8,ITA_vs_SLO,5
18,ITA,R2,JUMP,loss,10,8,ITA_vs_SLO,5
19,SLO,R2,JUMP,loss,10,9,ITA_vs_SLO,5
20,SLO,R3,FLOAT,win,10,10,ITA_vs_SLO,5
21,ITA,R3,FLOAT,loss,11,10,ITA_vs_SLO,5
22,SLO,R3,FLOAT,loss,11,11,ITA_vs_SLO,5
23,ITA,R4,JUMP,loss,12,11,ITA_vs_SLO,5
24,SLO,R4,JUMP,loss,12,12,ITA_vs_SLO,5
25,ITA,R5,JUMP,loss,13,12,ITA_vs_SLO,5
26,ITA,R5,JUMP,win,14,12,ITA_vs_SLO,5
27,SLO,R5,JUMP,loss,14,13,ITA_vs_SLO,5
28,ITA,R6,JUMP,loss,15,13,ITA_vs_SLO,5
