rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,USA,R1,JUMP,loss,0,1,ITA_vs_USA,5
2,ITA,R2,JUMP,loss,1,1,ITA_vs_USA,5
3,ITA,R2,JUMP,win,2,1,ITA_vs_USA,5
4,USA,R2,JUMP,loss,2,2,ITA_vs_USA,5
5,ITA,R3,FLOAT,loss,3,2,ITA_vs_USA,5
6,USA,R3,FLOAT,loss,3,3,ITA_vs_USA,5
7,USA,R4,JUMP,win,3,4,ITA_vs_USA,5
8,ITA,R4,JUMP,loss,4,4,ITA_vs_USA,5
9,ITA,R4,JUMP,win,5,4,ITA_vs_USA,5
10,USA,R4,JUMP,loss,5,5,ITA_vs_USA,5
11,USA,R5,JUMP,win,5,6,ITA_vs_USA,5
12,ITA,R5,JUMP,loss,6,6,ITA_vs_USA,5
13,USA,R5,JUMP,loss,6,7,ITA_vs_USA,5
14,ITA,R6,JUMP,loss,7,7,ITA_vs_USA,5
15,USA,R6,JUMP,loss,7,8,ITA_vs_USA,5
16,ITA,R1,JUMP,loss,8,8,ITA_vs_USA,5
17,USA,R1,JUMP,loss,8,9,ITA_vs_USA,5
18,USA,R2,HYBRID,win,8,10,ITA_vs_USA,5
19,ITA,R2,JUMP,loss,9,10,ITA_vs_USA,5
20,ITA,R2,JUMP,win,10,10,ITA_vs_USA,5
21,USA,R2,JUMP,loss,10,11,ITA_vs_USA,5
22,USA,R3,JUMP,win,10,12,ITA_vs_USA,5
23,ITA,R3,FLOAT,loss,11,12,ITA_vs_USA,5
24,USA,R3,FLOAT,loss,11,13,ITA_vs_USA,5
25,ITA,R4,JUMP,loss,12,13,ITA_vs_USA,5
26,USA,R4,JUMP,loss,12,14,ITA_vs_USA,5
27,ITA,R5,JUMP,loss,13,14,ITA_vs_USA,5
28,ITA,R5,JUMP,win,14,14,ITA_vs_USA,5
29,USA,R5,JUMP,loss,14,15,ITA_vs_USA,5
30,ITA,R6,JUMP,loss,15,15,ITA_vs_USA,5
31,USA,R6,FLOAT,loss,15,16,ITA_vs_USA,5
32,USA,R1,FLOAT,win,15,17,ITA_vs_USA,5
