rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,POL,R1,JUMP,loss,0,1,JPN_vs_POL,1
2,JPN,R2,JUMP,loss,1,1,JPN_vs_POL,1
3,POL,R2,JUMP,loss,1,2,JPN_vs_POL,1
4,JPN,R3,JUMP,loss,2,2,JPN_vs_POL,1
5,POL,R3,FLOAT,loss,2,3,JPN_vs_POL,1
6,JPN,R4,JUMP,loss,3,3,JPN_vs_POL,1
7,POL,R4,JUMP,loss,3,4,JPN_vs_POL,1
8,POL,R5,JUMP,win,3,5,JPN_vs_POL,1
9,JPN,R5,HYBRID,loss,4,5,JPN_vs_POL,1
10,JPN,R5,JUMP,win,5,5,JPN_vs_POL,1
11,POL,R5,JUMP,loss,5,6,JPN_vs_POL,1
12,JPN,R6,HYBRID,loss,6,6,JPN_vs_POL,1
13,POL,R6,FLOAT,loss,6,7,JPN_vs_POL,1
14,POL,R1,JUMP,win,6,8,JPN_vs_POL,1
15,JPN,R1,HYBRID,loss,7,8,JPN_vs_POL,1
16,JPN,R1,HYBRID,win,8,8,JPN_vs_POL,1
17,POL,R1,JUMP,loss,8,9,JPN_vs_POL,1
18,JPN,R2,JUMP,loss,9,9,JPN_vs_POL,1
19,POL,R2,JUMP,loss,9,10,JPN_vs_POL,1
20,POL,R3,JUMP,win,9,11,JPN_vs_POL,1
21,POL,R3,JUMP,win,9,12,JPN_vs_POL,1
22,JPN,R3,JUMP,loss,10,12,JPN_vs_POL,1
23,POL,R3,FLOAT,loss,10,13,JPN_vs_POL,1
24,JPN,R4,JUMP,loss,11,13,JPN_vs_POL,1
25,JPN,R4,JUMP,win,12,13,JPN_vs_POL,1
26,POL,R4,JUMP,loss,12,14,JPN_vs_POL,1
27,JPN,R5,JUMP,loss,13,14,JPN_vs_POL,1
28,POL,R5,JUMP,loss,13,15,JPN_vs_POL,1
