rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,JPN,R1,FLOAT,win,1,0,JPN_vs_SLO,5
2,SLO,R1,FLOAT,loss,1,1,JPN_vs_SLO,5
3,SLO,R2,JUMP,win,1,2,JPN_vs_SLO,5
4,SLO,R2,JUMP,win,1,3,JPN_vs_SLO,5
5,SLO,R2,JUMP,win,1,4,JPN_vs_SLO,5
6,JPN,R2,JUMP,loss,2,4,JPN_vs_SLO,5
7,SLO,R2,JUMP,loss,2,5,JPN_vs_SLO,5
8,JPN,R3,JUMP,loss,3,5,JPN_vs_SLO,5
9,SLO,R3,FLOAT,loss,3,6,JPN_vs_SLO,5
10,JPN,R4,JUMP,loss,4,6,JPN_vs_SLO,5
11,SLO,R4,JUMP,loss,4,7,JPN_vs_SLO,5
12,JPN,R5,JUMP,loss,5,7,JPN_vs_SLO,5
13,SLO,R5,JUMP,loss,5,8,JPN_vs_SLO,5
14,SLO,R6,JUMP,win,5,9,JPN_vs_SLO,5
15,SLO,R6,JUMP,win,5,10,JPN_vs_SLO,5
16,JPN,R6,JUMP,loss,6,10,JPN_vs_SLO,5
17,SLO,R6,FLOAT,loss,6,11,JPN_vs_SLO,5
18,SLO,R1,JUMP,win,6,12,JPN_vs_SLO,5
19,JPN,R1,JUMP,loss,7,12,JPN_vs_SLO,5
20,SLO,R1,HYBRID,loss,7,13,JPN_vs_SLO,5
21,JPN,R2,JUMP,loss,8,13,JPN_vs_SLO,5
22,SLO,R2,JUMP,loss,8,14,JPN_vs_SLO,5
23,JPN,R3,FLOAT,loss,9,14,JPN_vs_SLO,5
24,JPN,R3,FLOAT,win,10,14,JPN_vs_SLO,5
25,SLO,R3,FLOAT,loss,10,15,JPN_vs_SLO,5
