rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,USA,R1,FLOAT,loss,0,1,JPN_vs_USA,2
2,JPN,R2,JUMP,loss,1,1,JPN_vs_USA,2
3,USA,R2,JUMP,loss,1,2,JPN_vs_USA,2
4,JPN,R3,FLOAT,loss,2,2,JPN_vs_USA,2
5,USA,R3,FLOAT,loss,2,3,JPN_vs_USA,2
6,JPN,R4,JUMP,loss,3,3,JPN_vs_USA,2
7,JPN,R4,JUMP,win,4,3,JPN_vs_USA,2
8,USA,R4,JUMP,loss,4,4,JPN_vs_USA,2
9,JPN,R5,JUMP,loss,5,4,JPN_vs_USA,2
10,USA,R5,HYBRID,loss,5,5,JPN_vs_USA,2
11,JPN,R6,JUMP,loss,6,5,JPN_vs_USA,2
12,USA,R6,FLOAT,loss,6,6,JPN_vs_USA,2
13,JPN,R1,JUMP,loss,7,6,JPN_vs_USA,2
14,USA,R1,HYBRID,loss,7,7,JPN_vs_USA,2
15,JPN,R2,JUMP,loss,8,7,JPN_vs_USA,2
16,USA,R2,JUMP,loss,8,8,JPN_vs_USA,2
17,JPN,R3,JUMP,loss,9,8,JPN_vs_USA,2
18,USA,R3,FLOAT,loss,9,9,JPN_vs_USA,2
19,JPN,R4,JUMP,loss,10,9,JPN_vs_USA,2
20,USA,R4,JUMP,loss,10,10,JPN_vs_USA,2
21,USA,R5,JUMP,win,10,11,JPN_vs_USA,2
22,USA,R5,JUMP,win,10,12,JPN_vs_USA,2
23,JPN,R5,JUMP,loss,11,12,JPN_vs_USA,2
24,USA,R5,JUMP,loss,11,13,JPN_vs_USA,2
25,JPN,R6,JUMP,loss,12,13,JPN_vs_USA,2
26,USA,R6,FLOAT,loss,12,14,JPN_vs_USA,2
27,USA,R1,FLOAT,win,12,15,JPN_vs_USA,2
