rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,POL,R1,HYBRID,win,1,0,POL_vs_SLO,5
2,SLO,R1,JUMP,loss,1,1,POL_vs_SLO,5
3,SLO,R2,JUMP,win,1,2,POL_vs_SLO,5
4,POL,R2,JUMP,loss,2,2,POL_vs_SLO,5
5,SLO,R2,JUMP,loss,2,3,POL_vs_SLO,5
6,POL,R3,FLOAT,loss,3,3,POL_vs_SLO,5
7,SLO,R3,JUMP,loss,3,4,POL_vs_SLO,5
8,SLO,R4,JUMP,win,3,5,POL_vs_SLO,5
9,SLO,R4,JUMP,win,3,6,POL_vs_SLO,5
10,SLO,R4,JUMP,win,3,7,POL_vs_SLO,5
11,POL,R4,JUMP,loss,4,7,POL_vs_SLO,5
12,SLO,R4,JUMP,loss,4,8,POL_vs_SLO,5
13,POL,R5,JUMP,loss,5,8,POL_vs_SLO,5
14,SLO,R5,JUMP,loss,5,9,POL_vs_SLO,5
15,POL,R6,JUMP,loss,6,9,POL_vs_SLO,5
16,SLO,R6,HYBRID,loss,6,10,POL_vs_SLO,5
17,POL,R1,JUMP,loss,7,10,POL_vs_SLO,5
18,POL,R1,FLOAT,win,8,10,POL_vs_SLO,5
19,SLO,R1,HYBRID,loss,8,11,POL_vs_SLO,5
20,SLO,R2,JUMP,win,8,12,POL_vs_SLO,5
21,SLO,R2,JUMP,win,8,13,POL_vs_SLO,5
22,POL,R2,JUMP,loss,9,13,POL_vs_SLO,5
23,SLO,R2,JUMP,loss,9,14,POL_vs_SLO,5
24,POL,R3,FLOAT,loss,10,14,POL_vs_SLO,5
25,POL,R3,JUMP,win,11,14,POL_vs_SLO,5
26,SLO,R3,JUMP,loss,11,15,POL_vs_SLO,5
