rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,USA,R1,HYBRID,loss,0,1,POL_vs_USA,5
2,POL,R2,JUMP,loss,1,1,POL_vs_USA,5
3,POL,R2,JUMP,win,2,1,POL_vs_USA,5
4,POL,R2,JUMP,win,3,1,POL_vs_USA,5
5,POL,R2,JUMP,win,4,1,POL_vs_USA,5
6,USA,R2,JUMP,loss,4,2,POL_vs_USA,5
7,POL,R3,JUMP,loss,5,2,POL_vs_USA,5
8,USA,R3,JUMP,loss,5,3,POL_vs_USA,5
9,USA,R4,JUMP,win,5,4,POL_vs_USA,5
10,USA,R4,HYBRID,win,5,5,POL_vs_USA,5
11,POL,R4,JUMP,loss,6,5,POL_vs_USA,5
12,USA,R4,JUMP,loss,6,6,POL_vs_USA,5
13,POL,R5,JUMP,loss,7,6,POL_vs_USA,5
14,USA,R5,JUMP,loss,7,7,POL_vs_USA,5
15,USA,R6,HYBRID,win,7,8,POL_vs_USA,5
16,POL,R6,JUMP,loss,8,8,POL_vs_USA,5
17,POL,R6,JUMP,win,9,8,POL_vs_USA,5
18,USA,R6,JUMP,loss,9,9,POL_vs_USA,5
19,POL,R1,JUMP,loss,10,9,POL_vs_USA,5
20,POL,R1,HYBRID,win,11,9,POL_vs_USA,5
21,USA,R1,FLOAT,loss,11,10,POL_vs_USA,5
22,POL,R2,JUMP,loss,12,10,POL_vs_USA,5
23,POL,R2,JUMP,win,13,10,POL_vs_USA,5
24,USA,R2,HYBRID,loss,13,11,POL_vs_USA,5
25,USA,R3,JUMP,win,13,12,POL_vs_USA,5
26,POL,R3,JUMP,loss,14,12,POL_vs_USA,5
27,USA,R3,JUMP,loss,14,13,POL_vs_USA,5
28,POL,R4,JUMP,loss,15,13,POL_vs_USA,5
