rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,SLO,R1,JUMP,win,1,0,SLO_vs_USA,4
2,USA,R1,JUMP,loss,1,1,SLO_vs_USA,4
3,SLO,R2,JUMP,loss,2,1,SLO_vs_USA,4
4,USA,R2,JUMP,loss,2,2,SLO_vs_USA,4
5,SLO,R3,JUMP,loss,3,2,SLO_vs_USA,4
6,USA,R3,FLOAT,loss,3,3,SLO_vs_USA,4
7,USA,R4,JUMP,win,3,4,SLO_vs_USA,4
8,SLO,R4,JUMP,loss,4,4,SLO_vs_USA,4
9,SLO,R4,JUMP,win,5,4,SLO_vs_USA,4
10,SLO,R4,JUMP,win,6,4,SLO_vs_USA,4
11,USA,R4,JUMP,loss,6,5,SLO_vs_USA,4
12,SLO,R5,JUMP,loss,7,5,SLO_vs_USA,4
13,SLO,R5,JUMP,win,8,5,SLO_vs_USA,4
14,USA,R5,JUMP,loss,8,6,SLO_vs_USA,4
15,SLO,R6,HYBRID,loss,9,6,SLO_vs_USA,4
16,USA,R6,JUMP,loss,9,7,SLO_vs_USA,4
17,USA,R1,JUMP,win,9,8,SLO_vs_USA,4
18,USA,R1,FLOAT,win,9,9,SLO_vs_USA,4
19,SLO,R1,JUMP,loss,10,9,SLO_vs_USA,4
20,USA,R1,JUMP,loss,10,10,SLO_vs_USA,4
21,USA,R2,JUMP,win,10,11,SLO_vs_USA,4
22,USA,R2,JUMP,win,10,12,SLO_vs_USA,4
23,SLO,R2,JUMP,loss,11,12,SLO_vs_USA,4
24,USA,R2,JUMP,loss,11,13,SLO_vs_USA,4
25,USA,R3,JUMP,win,11,14,SLO_vs_USA,4
26,SLO,R3,HYBRID,loss,12,14,SLO_vs_USA,4
27,USA,R3,JUMP,loss,12,15,SLO_vs_USA,4
