rally_num,serving_team,rotation,serve_type,result,score_team_a,score_team_b,match,set
1,BRA,R1,FLOAT,win,1,0,BRA_vs_FRA,1
2,BRA,R1,FLOAT,win,2,0,BRA_vs_FRA,1
3,BRA,R1,FLOAT,win,3,0,BRA_vs_FRA,1
4,FRA,R1,FLOAT,loss,3,1,BRA_vs_FRA,1
5,BRA,R2,JUMP,loss,4,1,BRA_vs_FRA,1
6,FRA,R2,JUMP,loss,4,2,BRA_vs_FRA,1
7,BRA,R3,FLOAT,loss,5,2,BRA_vs_FRA,1
8,BRA,R3,FLOAT,win,6,2,BRA_vs_FRA,1
9,BRA,R3,JUMP,win,7,2,BRA_vs_FRA,1
10,FRA,R3,FLOAT,loss,7,3,BRA_vs_FRA,1
11,BRA,R4,JUMP,loss,8,3,BRA_vs_FRA,1
12,FRA,R4,JUMP,loss,8,4,BRA_vs_FRA,1
13,BRA,R5,JUMP,loss,9,4,BRA_vs_FRA,1
14,BRA,R5,JUMP,win,10,4,BRA_vs_FRA,1
15,FRA,R5,JUMP,loss,10,5,BRA_vs_FRA,1
16,BRA,R6,FLOAT,loss,11,5,BRA_vs_FRA,1
17,BRA,R6,JUMP,win,12,5,BRA_vs_FRA,1
18,BRA,R6,JUMP,win,13,5,BRA_vs_FRA,1
19,BRA,R6,HYBRID,win,14,5,BRA_vs_FRA,1
20,FRA,R6,JUMP,loss,14,6,BRA_vs_FRA,1
21,BRA,R1,JUMP,loss,15,6,BRA_vs_FRA,1
1,BRA,R1,JUMP,win,1,0,BRA_vs_FRA,2
2,BRA,R1,JUMP,win,2,0,BRA_vs_FRA,2
3,FRA,R1,FLOAT,loss,2,1,BRA_vs_FRA,2
4,BRA,R2,JUMP,loss,3,1,BRA_vs_FRA,2
5,FRA,R2,JUMP,loss,3,2,BRA_vs_FRA,2
6,FRA,R3,FLOAT,win,3,3,BRA_vs_FRA,2
7,BRA,R3,JUMP,loss,4,3,BRA_vs_FRA,2
8,FRA,R3,FLOAT,loss,4,4,BRA_vs_FRA,2
9,BRA,R4,JUMP,loss,5,4,BRA_vs_FRA,2
10,BRA,R4,JUMP,win,6,4,BRA_vs_FRA,2
11,FRA,R4,JUMP,loss,6,5,BRA_vs_FRA,2
12,BRA,R5,JUMP,loss,7,5,BRA_vs_FRA,2
13,BRA,R5,JUMP,win,8,5,BRA_vs_FRA,2
14,FRA,R5,JUMP,loss,8,6,BRA_vs_FRA,2
15,BRA,R6,FLOAT,loss,9,6,BRA_vs_FRA,2
16,BRA,R6,JUMP,win,10,6,BRA_vs_FRA,2
17,BRA,R6,JUMP,win,11,6,BRA_vs_FRA,2
18,BRA,R6,HYBRID,win,12,6,BRA_vs_FRA,2
19,BRA,R6,JUMP,win,13,6,BRA_vs_FRA,2
20,BRA,R6,JUMP,win,14,6,BRA_vs_FRA,2
21,BRA,R6,JUMP,win,15,6,BRA_vs_FRA,2
1,BRA,R1,JUMP,win,1,0,BRA_vs_FRA,3
2,FRA,R1,FLOAT,loss,1,1,BRA_vs_FRA,3
3,BRA,R2,FLOAT,loss,2,1,BRA_vs_FRA,3
4,BRA,R2,JUMP,win,3,1,BRA_vs_FRA,3
5,BRA,R2,JUMP,win,4,1,BRA_vs_FRA,3
6,FRA,R2,JUMP,loss,4,2,BRA_vs_FRA,3
7,FRA,R3,JUMP,win,4,3,BRA_vs_FRA,3
8,BRA,R3,JUMP,loss,5,3,BRA_vs_FRA,3
9,FRA,R3,FLOAT,loss,5,4,BRA_vs_FRA,3
10,BRA,R4,JUMP,loss,6,4,BRA_vs_FRA,3
11,FRA,R4,JUMP,loss,6,5,BRA_vs_FRA,3
12,BRA,R5,JUMP,loss,7,5,BRA_vs_FRA,3
13,BRA,R5,JUMP,win,8,5,BRA_vs_FRA,3
14,BRA,R5,JUMP,win,9,5,BRA_vs_FRA,3
15,FRA,R5,JUMP,loss,9,6,BRA_vs_FRA,3
16,BRA,R6,JUMP,loss,10,6,BRA_vs_FRA,3
17,FRA,R6,HYBRID,loss,10,7,BRA_vs_FRA,3
18,BRA,R1,JUMP,loss,11,7,BRA_vs_FRA,3
19,BRA,R1,JUMP,win,12,7,BRA_vs_FRA,3
20,FRA,R1,JUMP,loss,12,8,BRA_vs_FRA,3
21,BRA,R2,FLOAT,loss,13,8,BRA_vs_FRA,3
22,FRA,R2,JUMP,loss,13,9,BRA_vs_FRA,3
23,BRA,R3,JUMP,loss,14,9,BRA_vs_FRA,3
24,FRA,R3,JUMP,loss,14,10,BRA_vs_FRA,3
25,FRA,R4,JUMP,win,14,11,BRA_vs_FRA,3
26,BRA,R4,JUMP,loss,15,11,BRA_vs_FRA,3
1,FRA,R1,HYBRID,loss,0,1,BRA_vs_FRA,4
2,FRA,R2,FLOAT,win,0,2,BRA_vs_FRA,4
3,FRA,R2,FLOAT,win,0,3,BRA_vs_FRA,4
4,FRA,R2,JUMP,win,0,4,BRA_vs_FRA,4
5,BRA,R2,FLOAT,loss,1,4,BRA_vs_FRA,4
6,FRA,R2,HYBRID,loss,1,5,BRA_vs_FRA,4
7,FRA,R3,HYBRID,win,1,6,BRA_vs_FRA,4
8,BRA,R3,HYBRID,loss,2,6,BRA_vs_FRA,4
9,BRA,R3,HYBRID,win,3,6,BRA_vs_FRA,4
10,FRA,R3,FLOAT,loss,3,7,BRA_vs_FRA,4
11,FRA,R4,JUMP,win,3,8,BRA_vs_FRA,4
12,BRA,R4,JUMP,loss,4,8,BRA_vs_FRA,4
13,FRA,R4,JUMP,loss,4,9,BRA_vs_FRA,4
14,FRA,R5,JUMP,win,4,10,BRA_vs_FRA,4
15,BRA,R5,HYBRID,loss,5,10,BRA_vs_FRA,4
16,BRA,R5,JUMP,win,6,10,BRA_vs_FRA,4
17,BRA,R5,JUMP,win,7,10,BRA_vs_FRA,4
18,FRA,R5,JUMP,loss,7,11,BRA_vs_FRA,4
19,BRA,R6,FLOAT,loss,8,11,BRA_vs_FRA,4
20,FRA,R6,JUMP,loss,8,12,BRA_vs_FRA,4
21,FRA,R1,JUMP,win,8,13,BRA_vs_FRA,4
22,FRA,R1,FLOAT,win,8,14,BRA_vs_FRA,4
23,FRA,R1,JUMP,win,8,15,BRA_vs_FRA,4
1,BRA,R1,JUMP,win,1,0,BRA_vs_FRA,5
2,BRA,R1,JUMP,win,2,0,BRA_vs_FRA,5
3,FRA,R1,JUMP,loss,2,1,BRA_vs_FRA,5
4,FRA,R2,JUMP,win,2,2,BRA_vs_FRA,5
5,BRA,R2,JUMP,loss,3,2,BRA_vs_FRA,5
6,BRA,R2,JUMP,win,4,2,BRA_vs_FRA,5
7,BRA,R2,HYBRID,win,5,2,BRA_vs_FRA,5
8,BRA,R2,JUMP,win,6,2,BRA_vs_FRA,5
9,FRA,R2,JUMP,loss,6,3,BRA_vs_FRA,5
10,BRA,R3,JUMP,loss,7,3,BRA_vs_FRA,5
11,FRA,R3,FLOAT,loss,7,4,BRA_vs_FRA,5
12,BRA,R4,JUMP,loss,8,4,BRA_vs_FRA,5
13,FRA,R4,HYBRID,loss,8,5,BRA_vs_FRA,5
14,BRA,R5,FLOAT,loss,9,5,BRA_vs_FRA,5
15,FRA,R5,JUMP,loss,9,6,BRA_vs_FRA,5
16,BRA,R6,FLOAT,loss,10,6,BRA_vs_FRA,5
17,FRA,R6,FLOAT,loss,10,7,BRA_vs_FRA,5
18,BRA,R1,HYBRID,loss,11,7,BRA_vs_FRA,5
19,BRA,R1,JUMP,win,12,7,BRA_vs_FRA,5
20,FRA,R1,JUMP,loss,12,8,BRA_vs_FRA,5
21,BRA,R2,JUMP,loss,13,8,BRA_vs_FRA,5
22,FRA,R2,JUMP,loss,13,9,BRA_vs_FRA,5
23,BRA,R3,JUMP,loss,14,9,BRA_vs_FRA,5
24,FRA,R3,FLOAT,loss,14,10,BRA_vs_FRA,5
25,FRA,R4,JUMP,win,14,11,BRA_vs_FRA,5
26,FRA,R4,JUMP,win,14,12,BRA_vs_FRA,5
27,BRA,R4,JUMP,loss,15,12,BRA_vs_FRA,5
1,ITA,R1,HYBRID,loss,0,1,BRA_vs_ITA,1
2,ITA,R2,JUMP,win,0,2,BRA_vs_ITA,1
3,ITA,R2,JUMP,win,0,3,BRA_vs_ITA,1
4,BRA,R2,JUMP,loss,1,3,BRA_vs_ITA,1
5,ITA,R2,JUMP,loss,1,4,BRA_vs_ITA,1
6,BRA,R3,FLOAT,loss,2,4,BRA_vs_ITA,1
7,ITA,R3,HYBRID,loss,2,5,BRA_vs_ITA,1
8,BRA,R4,JUMP,loss,3,5,BRA_vs_ITA,1
9,ITA,R4,JUMP,loss,3,6,BRA_vs_ITA,1
10,BRA,R5,JUMP,loss,4,6,BRA_vs_ITA,1
11,ITA,R5,JUMP,loss,4,7,BRA_vs_ITA,1
12,BRA,R6,JUMP,loss,5,7,BRA_vs_ITA,1
13,ITA,R6,FLOAT,loss,5,8,BRA_vs_ITA,1
14,BRA,R1,JUMP,loss,6,8,BRA_vs_ITA,1
15,ITA,R1,JUMP,loss,6,9,BRA_vs_ITA,1
16,BRA,R2,JUMP,loss,7,9,BRA_vs_ITA,1
17,ITA,R2,JUMP,loss,7,10,BRA_vs_ITA,1
18,ITA,R3,FLOAT,win,7,11,BRA_vs_ITA,1
19,BRA,R3,JUMP,loss,8,11,BRA_vs_ITA,1
20,ITA,R3,FLOAT,loss,8,12,BRA_vs_ITA,1
21,BRA,R4,JUMP,loss,9,12,BRA_vs_ITA,1
22,BRA,R4,JUMP,win,10,12,BRA_vs_ITA,1
23,ITA,R4,JUMP,loss,10,13,BRA_vs_ITA,1
24,BRA,R5,JUMP,loss,11,13,BRA_vs_ITA,1
25,ITA,R5,JUMP,loss,11,14,BRA_vs_ITA,1
26,ITA,R6,FLOAT,win,11,15,BRA_vs_ITA,1
1,BRA,R1,JUMP,win,1,0,BRA_vs_ITA,2
2,BRA,R1,JUMP,win,2,0,BRA_vs_ITA,2
3,ITA,R1,HYBRID,loss,2,1,BRA_vs_ITA,2
4,ITA,R2,JUMP,win,2,2,BRA_vs_ITA,2
5,ITA,R2,JUMP,win,2,3,BRA_vs_ITA,2
6,ITA,R2,JUMP,win,2,4,BRA_vs_ITA,2
7,BRA,R2,HYBRID,loss,3,4,BRA_vs_ITA,2
8,ITA,R2,HYBRID,loss,3,5,BRA_vs_ITA,2
9,ITA,R3,HYBRID,win,3,6,BRA_vs_ITA,2
10,BRA,R3,FLOAT,loss,4,6,BRA_vs_ITA,2
11,ITA,R3,FLOAT,loss,4,7,BRA_vs_ITA,2
12,BRA,R4,JUMP,loss,5,7,BRA_vs_ITA,2
13,ITA,R4,JUMP,loss,5,8,BRA_vs_ITA,2
14,BRA,R5,JUMP,loss,6,8,BRA_vs_ITA,2
15,ITA,R5,FLOAT,loss,6,9,BRA_vs_ITA,2
16,ITA,R6,HYBRID,win,6,10,BRA_vs_ITA,2
17,ITA,R6,JUMP,win,6,11,BRA_vs_ITA,2
18,BRA,R6,FLOAT,loss,7,11,BRA_vs_ITA,2
19,ITA,R6,JUMP,loss,7,12,BRA_vs_ITA,2
20,BRA,R1,JUMP,loss,8,12,BRA_vs_ITA,2
21,BRA,R1,FLOAT,win,9,12,BRA_vs_ITA,2
22,BRA,R1,JUMP,win,10,12,BRA_vs_ITA,2
23,BRA,R1,JUMP,win,11,12,BRA_vs_ITA,2
24,ITA,R1,JUMP,loss,11,13,BRA_vs_ITA,2
25,BRA,R2,JUMP,loss,12,13,BRA_vs_ITA,2
26,BRA,R2,JUMP,win,13,13,BRA_vs_ITA,2
27,ITA,R2,JUMP,loss,13,14,BRA_vs_ITA,2
28,ITA,R3,HYBRID,win,13,15,BRA_vs_ITA,2
1,ITA,R1,JUMP,loss,0,1,BRA_vs_ITA,3
