match_id,set_number,rally_number,serving_team,receiving_team,rotation_number,serve_type,serve_result,serve_zone,pass_quality,rally_winner
2,1,1,ITA,BRA,R5,JUMP,IN,5,2,ITA
2,1,2,ITA,BRA,R5,JUMP,IN,6,3,BRA
2,1,3,BRA,ITA,R3,FLOAT,IN,1,2,ITA
2,1,4,ITA,BRA,R6,FLOAT,IN,6,3,BRA
2,1,5,BRA,ITA,R4,JUMP,ERROR,NA,NA,ITA
2,1,6,ITA,BRA,R1,JUMP,IN,5,2,BRA
2,1,7,BRA,ITA,R5,JUMP,IN,1,2,ITA
2,1,8,ITA,BRA,R2,JUMP,IN,1,3,BRA
2,1,9,BRA,ITA,R6,JUMP,ERROR,NA,NA,ITA
2,1,10,ITA,BRA,R3,HYBRID,ACE,NA,NA,ITA
2,1,11,ITA,BRA,R3,HYBRID,IN,6,1,BRA
2,1,12,BRA,ITA,R1,HYBRID,IN,1,1,BRA
2,1,13,BRA,ITA,R1,HYBRID,ERROR,NA,NA,ITA
2,1,14,ITA,BRA,R4,JUMP,ERROR,NA,NA,BRA
2,1,15,BRA,ITA,R2,JUMP,IN,5,2,BRA
2,1,16,BRA,ITA,R2,HYBRID,IN,3,2,ITA
2,1,17,ITA,BRA,R5,JUMP,IN,1,3,BRA
2,1,18,BRA,ITA,R3,FLOAT,IN,1,2,BRA
2,1,19,BRA,ITA,R3,FLOAT,IN,1,3,ITA
2,1,20,ITA,BRA,R6,HYBRID,IN,6,3,BRA
2,1,21,BRA,ITA,R4,JUMP,ERROR,NA,NA,ITA
2,1,22,ITA,BRA,R1,JUMP,IN,5,2,BRA
2,1,23,BRA,ITA,R5,JUMP,ACE,NA,NA,BRA
2,1,24,BRA,ITA,R5,JUMP,IN,1,3,BRA
2,1,25,BRA,ITA,R5,JUMP,IN,5,3,ITA
2,1,26,ITA,BRA,R2,JUMP,ERROR,NA,NA,BRA
2,1,27,BRA,ITA,R6,JUMP,IN,1,2,BRA
2,1,28,BRA,ITA,R6,JUMP,IN,6,3,ITA
2,1,29,ITA,BRA,R3,HYBRID,ERROR,NA,NA,BRA
2,1,30,BRA,ITA,R1,HYBRID,IN,6,0,BRA
2,1,31,BRA,ITA,R1,HYBRID,IN,1,3,BRA
2,1,32,BRA,ITA,R1,HYBRID,IN,6,3,BRA
2,1,33,BRA,ITA,R1,HYBRID,IN,5,3,ITA
2,1,34,ITA,BRA,R4,JUMP,ERROR,NA,NA,BRA
