match_id,set_number,rally_number,serving_team,receiving_team,rotation_number,serve_type,serve_result,serve_zone,pass_quality,rally_winner
7,1,1,SLO,BRA,R4,JUMP,IN,6,2,BRA
7,1,2,BRA,SLO,R3,FLOAT,IN,1,1,SLO
7,1,3,SLO,BRA,R5,JUMP,ERROR,NA,NA,BRA
7,1,4,BRA,SLO,R4,JUMP,IN,1,2,SLO
7,1,5,SLO,BRA,R6,JUMP,IN,6,2,BRA
7,1,6,BRA,SLO,R5,JUMP,IN,1,0,BRA
7,1,7,BRA,SLO,R5,JUMP,IN,6,0,SLO
7,1,8,SLO,BRA,R1,FLOAT,IN,5,3,SLO
7,1,9,SLO,BRA,R1,FLOAT,ERROR,NA,NA,BRA
7,1,10,BRA,SLO,R6,JUMP,IN,6,3,SLO
7,1,11,SLO,BRA,R2,JUMP,IN,6,2,BRA
7,1,12,BRA,SLO,R1,JUMP,IN,1,2,BRA
7,1,13,BRA,SLO,R1,FLOAT,IN,1,3,SLO
7,1,14,SLO,BRA,R3,FLOAT,IN,1,1,SLO
7,1,15,SLO,BRA,R3,FLOAT,IN,1,3,BRA
7,1,16,BRA,SLO,R2,JUMP,IN,1,2,SLO
7,1,17,SLO,BRA,R4,JUMP,ACE,NA,NA,SLO
7,1,18,SLO,BRA,R4,JUMP,IN,1,2,SLO
7,1,19,SLO,BRA,R4,JUMP,IN,6,2,SLO
7,1,20,SLO,BRA,R4,JUMP,IN,1,1,SLO
7,1,21,SLO,BRA,R4,JUMP,IN,5,2,BRA
7,1,22,BRA,SLO,R3,FLOAT,IN,5,3,SLO
7,1,23,SLO,BRA,R5,JUMP,ERROR,NA,NA,BRA
7,1,24,BRA,SLO,R4,JUMP,IN,1,1,SLO
7,1,25,SLO,BRA,R6,JUMP,IN,1,2,BRA
7,1,26,BRA,SLO,R5,JUMP,IN,6,3,SLO
7,1,27,SLO,BRA,R1,FLOAT,IN,4,2,BRA
7,1,28,BRA,SLO,R6,JUMP,IN,6,3,BRA
7,1,29,BRA,SLO,R6,JUMP,IN,6,1,BRA
7,1,30,BRA,SLO,R6,JUMP,ACE,NA,NA,BRA
7,1,31,BRA,SLO,R6,JUMP,IN,6,2,BRA
7,1,32,BRA,SLO,R6,JUMP,ACE,NA,NA,BRA
7,1,33,BRA,SLO,R6,JUMP,IN,1,1,BRA
7,1,34,BRA,SLO,R6,JUMP,ERROR,NA,NA,SLO
7,1,35,SLO,BRA,R2,JUMP,IN,1,1,SLO
7,1,36,SLO,BRA,R2,JUMP,IN,6,3,BRA
7,1,37,BRA,SLO,R1,JUMP,IN,6,1,BRA
7,1,38,BRA,SLO,R1,JUMP,ACE,NA,NA,BRA
7,1,39,BRA,SLO,R1,JUMP,IN,5,1,SLO
7,1,40,SLO,BRA,R3,FLOAT,IN,1,3,BRA
7,1,41,BRA,SLO,R2,JUMP,IN,6,0,BRA
7,1,42,BRA,SLO,R2,JUMP,ACE,NA,NA,BRA
7,1,43,BRA,SLO,R2,JUMP,IN,5,1,BRA
7,2,1,BRA,SLO,R3,FLOAT,IN,1,2,SLO
7,2,2,SLO,BRA,R5,JUMP,IN,5,3,BRA
7,2,3,BRA,SLO,R4,JUMP,IN,1,1,BRA
7,2,4,BRA,SLO,R4,JUMP,IN,1,1,BRA
7,2,5,BRA,SLO,R4,JUMP,IN,1,1,SLO
7,2,6,SLO,BRA,R6,JUMP,IN,6,3,SLO
7,2,7,SLO,BRA,R6,JUMP,ERROR,NA,NA,BRA
7,2,8,BRA,SLO,R5,JUMP,IN,5,2,BRA
7,2,9,BRA,SLO,R5,JUMP,ERROR,NA,NA,SLO
