match_id,set_number,rally_number,serving_team,receiving_team,rotation_number,serve_type,serve_result,serve_zone,pass_quality,rally_winner
6,1,1,JPN,SLO,R5,JUMP,IN,5,1,SLO
6,1,2,SLO,JPN,R3,JUMP,IN,1,3,JPN
6,1,3,JPN,SLO,R6,FLOAT,ERROR,NA,NA,SLO
6,1,4,SLO,JPN,R4,JUMP,IN,5,1,SLO
6,1,5,SLO,JPN,R4,JUMP,IN,6,2,JPN
6,1,6,JPN,SLO,R1,FLOAT,IN,6,3,JPN
6,1,7,JPN,SLO,R1,HYBRID,IN,6,3,SLO
6,1,8,SLO,JPN,R5,JUMP,ERROR,NA,NA,JPN
6,1,9,JPN,SLO,R2,JUMP,IN,1,0,JPN
6,1,10,JPN,SLO,R2,JUMP,IN,6,2,SLO
6,1,11,SLO,JPN,R6,JUMP,IN,6,2,SLO
6,1,12,SLO,JPN,R6,JUMP,ERROR,NA,NA,JPN
6,1,13,JPN,SLO,R3,FLOAT,IN,6,2,JPN
6,1,14,JPN,SLO,R3,FLOAT,IN,6,2,SLO
6,1,15,SLO,JPN,R1,JUMP,IN,6,2,JPN
6,1,16,JPN,SLO,R4,JUMP,ACE,NA,NA,JPN
6,1,17,JPN,SLO,R4,JUMP,IN,6,2,SLO
6,1,18,SLO,JPN,R2,JUMP,IN,1,3,SLO
6,1,19,SLO,JPN,R2,JUMP,IN,5,3,JPN
6,1,20,JPN,SLO,R5,JUMP,IN,6,1,SLO
6,1,21,SLO,JPN,R3,FLOAT,ACE,NA,NA,SLO
6,1,22,SLO,JPN,R3,JUMP,ERROR,NA,NA,JPN
6,1,23,JPN,SLO,R6,FLOAT,IN,5,1,SLO
6,1,24,SLO,JPN,R4,JUMP,IN,1,1,SLO
6,1,25,SLO,JPN,R4,JUMP,IN,6,1,JPN
6,1,26,JPN,SLO,R1,FLOAT,IN,5,3,SLO
6,1,27,SLO,JPN,R5,JUMP,ERROR,NA,NA,JPN
6,1,28,JPN,SLO,R2,JUMP,IN,1,1,SLO
6,1,29,SLO,JPN,R6,JUMP,IN,1,3,JPN
6,1,30,JPN,SLO,R3,FLOAT,IN,6,2,SLO
6,1,31,SLO,JPN,R1,JUMP,IN,1,1,JPN
6,1,32,JPN,SLO,R4,JUMP,ACE,NA,NA,JPN
6,1,33,JPN,SLO,R4,JUMP,ERROR,NA,NA,SLO
6,1,34,SLO,JPN,R2,JUMP,IN,6,2,SLO
6,1,35,SLO,JPN,R2,JUMP,ACE,NA,NA,SLO
6,1,36,SLO,JPN,R2,JUMP,IN,1,3,JPN
6,1,37,JPN,SLO,R5,JUMP,IN,6,1,JPN
6,1,38,JPN,SLO,R5,JUMP,ACE,NA,NA,JPN
6,1,39,JPN,SLO,R5,HYBRID,IN,5,3,JPN
