match_id,set_number,rally_number,serving_team,receiving_team,rotation_number,serve_type,serve_result,serve_zone,pass_quality,rally_winner
1,1,1,POL,ITA,R5,JUMP,IN,1,2,POL
1,1,2,POL,ITA,R5,JUMP,ERROR,NA,NA,ITA
1,1,3,ITA,POL,R2,JUMP,ERROR,NA,NA,POL
1,1,4,POL,ITA,R6,HYBRID,IN,5,1,ITA
1,1,5,ITA,POL,R3,FLOAT,IN,4,3,ITA
1,1,6,ITA,POL,R3,FLOAT,IN,4,3,ITA
1,1,7,ITA,POL,R3,FLOAT,IN,6,3,POL
1,1,8,POL,ITA,R1,FLOAT,IN,6,3,ITA
1,1,9,ITA,POL,R4,JUMP,IN,6,1,POL
1,1,10,POL,ITA,R2,FLOAT,IN,6,3,ITA
1,1,11,ITA,POL,R5,JUMP,IN,1,2,POL
1,1,12,POL,ITA,R3,JUMP,ERROR,NA,NA,ITA
1,1,13,ITA,POL,R6,JUMP,IN,1,1,POL
1,1,14,POL,ITA,R4,JUMP,IN,6,3,POL
1,1,15,POL,ITA,R4,JUMP,ERROR,NA,NA,ITA
1,1,16,ITA,POL,R1,JUMP,IN,6,3,POL
1,1,17,POL,ITA,R5,JUMP,IN,5,1,POL
1,1,18,POL,ITA,R5,JUMP,ERROR,NA,NA,ITA
1,1,19,ITA,POL,R2,JUMP,IN,6,1,ITA
1,1,20,ITA,POL,R2,JUMP,IN,6,2,POL
1,1,21,POL,ITA,R6,JUMP,IN,6,3,POL
1,1,22,POL,ITA,R6,JUMP,IN,1,1,ITA
1,1,23,ITA,POL,R3,FLOAT,IN,6,2,POL
1,1,24,POL,ITA,R1,FLOAT,IN,5,2,POL
1,1,25,POL,ITA,R1,FLOAT,IN,4,2,ITA
1,1,26,ITA,POL,R4,JUMP,IN,1,1,ITA
1,1,27,ITA,POL,R4,JUMP,IN,1,0,ITA
1,1,28,ITA,POL,R4,JUMP,IN,1,3,POL
1,1,29,POL,ITA,R2,JUMP,IN,5,2,ITA
1,1,30,ITA,POL,R5,JUMP,IN,6,1,ITA
1,1,31,ITA,POL,R5,JUMP,IN,1,1,POL
1,1,32,POL,ITA,R3,JUMP,IN,6,3,ITA
1,1,33,ITA,POL,R6,JUMP,IN,1,2,ITA
1,1,34,ITA,POL,R6,JUMP,ERROR,NA,NA,POL
1,1,35,POL,ITA,R4,JUMP,ERROR,NA,NA,ITA
1,1,36,ITA,POL,R1,JUMP,IN,5,2,POL
1,1,37,POL,ITA,R5,JUMP,ERROR,NA,NA,ITA
1,1,38,ITA,POL,R2,JUMP,ACE,NA,NA,ITA
1,1,39,ITA,POL,R2,JUMP,ERROR,NA,NA,POL
1,1,40,POL,ITA,R6,HYBRID,IN,5,3,POL
1,1,41,POL,ITA,R6,JUMP,IN,6,1,POL
1,1,42,POL,ITA,R6,HYBRID,ACE,NA,NA,POL
1,1,43,POL,ITA,R6,HYBRID,IN,6,1,ITA
1,1,44,ITA,POL,R3,JUMP,IN,6,2,POL
