match_id,set_number,rally_number,serving_team,receiving_team,rotation_number,serve_type,serve_result,serve_zone,pass_quality,rally_winner
4,1,1,USA,FRA,R5,JUMP,IN,6,2,FRA
4,1,2,FRA,USA,R1,FLOAT,IN ,5,2,FRA
4,1,3,FRA,USA,R1,FLOAT,IN,6,3,FRA
4,1,4,FRA,USA,R1,FLOAT,IN,5,3,USA
4,1,5,USA,FRA,R6,HYBRID,IN,6,3,FRA
4,1,6,FRA,USA,R2,HYBRID,IN,5,3,USA
4,1,7,USA,FRA,R1,JUMP,IN,6,3,FRA
4,1,8,FRA,USA,R3,JUMP,ERROR,NA,NA,USA
4,1,9,USA,FRA,R2,JUMP,IN,5,2,USA
4,1,10,USA,FRA,R2,JUMP,IN,5,2,USA
4,1,11,USA,FRA,R2,JUMP,ERROR,NA,NA,FRA
4,1,12,FRA,USA,R4,JUMP,IN,6,3,USA
4,1,13,USA,FRA,R3,HYBRID,IN,5,2,FRA
4,1,14,FRA,USA,R5,JUMP,IN,6,2,USA
4,1,15,USA,FRA,R4,JUMP,ACE,NA,NA,USA
4,1,16,USA,FRA,R4,JUMP,IN,5,3,FRA
4,1,17,FRA,USA,R6,FLOAT,ERROR,NA,NA,USA
4,1,18,USA,FRA,R5,JUMP,IN,5,2,USA
4,1,19,USA,FRA,R5,JUMP,ERROR,NA,NA,FRA
4,1,20,FRA,USA,R1,FLOAT,IN,6,2,USA
4,1,21,USA,FRA,R6,HYBRID,IN,5,3,FRA
4,1,22,FRA,USA,R2,FLOAT,IN,6,3,USA
4,1,23,USA,FRA,R1,JUMP,IN,6,2,FRA
4,1,24,FRA,USA,R3,JUMP,ERROR,NA,NA,USA
4,1,25,USA,FRA,R2,JUMP,ERROR,NA,NA,FRA
4,1,26,FRA,USA,R4,JUMP,IN,1,2,USA
4,1,27,USA,FRA,R3,JUMP,IN,5,2,USA
4,1,28,USA,FRA,R3,JUMP,IN,6,3,FRA
4,1,29,FRA,USA,R5,JUMP,IN,5,2,USA
4,1,30,USA,FRA,R4,JUMP,IN,1,2,FRA
