match_id,set_number,rally_number,serving_team,receiving_team,rotation_number,serve_type,serve_result,serve_zone,pass_quality,rally_winner
3,1,1,POL,USA,R3,JUMP,ERROR,NA,NA,USA
3,1,2,USA,POL,R3,JUMP,IN,1,2,POL
3,1,3,POL,USA,R4,JUMP,ERROR,NA,NA,USA
3,1,4,USA,POL,R4,JUMP,IN,6,1,POL
3,1,5,POL,USA,R5,JUMP,IN,5,1,USA
3,1,6,USA,POL,R5,JUMP,ERROR,NA,NA,POL
3,1,7,POL,USA,R6,HYBRID,ERROR,NA,NA,USA
3,1,8,USA,POL,R6,JUMP,IN,5,1,POL
3,1,9,POL,USA,R1,FLOAT,IN,5,2,USA
3,1,10,USA,POL,R1,HYBRID,IN,6,3,POL
3,1,11,POL,USA,R2,JUMP,IN,5,3,USA
3,1,12,USA,POL,R2,JUMP,IN,6,3,USA
3,1,13,USA,POL,R2,JUMP,ERROR,NA,NA,POL
3,1,14,POL,USA,R3,JUMP,IN,6,3,POL
3,1,15,POL,USA,R3,JUMP,ACE,NA,NA,POL
3,1,16,POL,USA,R3,JUMP,IN,1,2,USA
3,1,17,USA,POL,R3,FLOAT,IN,5,2,POL
3,1,18,POL,USA,R4,JUMP,IN,6,2,USA
3,1,19,USA,POL,R4,JUMP,IN,6,2,POL
3,1,20,POL,USA,R5,JUMP,IN,6,3,USA
3,1,21,USA,POL,R5,JUMP,IN,6,1,POL
3,1,22,POL,USA,R6,HYBRID,IN,6,3,USA
3,1,23,USA,POL,R6,JUMP,IN,6,2,POL
3,1,24,POL,USA,R1,HYBRID,IN,5,2,POL
3,1,25,POL,USA,R1,HYBRID,ERROR,NA,NA,USA
3,1,26,USA,POL,R1,FLOAT,IN,6,2,POL
3,1,27,POL,USA,R2,JUMP,IN,6,2,POL
3,1,28,POL,USA,R2,JUMP,IN,6,2,USA
3,1,29,USA,POL,R2,HYBRID,ACE,NA,NA,USA
3,1,30,USA,POL,R2,JUMP,ERROR,NA,NA,POL
3,1,31,POL,USA,R3,JUMP,ACE,NA,NA,POL
3,1,32,POL,USA,R3,JUMP,ACE,NA,NA,POL
3,1,33,POL,USA,R3,JUMP,IN,6,2,POL
3,1,34,POL,USA,R3,JUMP,IN,6,3,POL
3,1,35,POL,USA,R3,JUMP,ERROR,NA,NA,USA
3,1,36,USA,POL,R3,JUMP,IN,6,2,USA
3,1,37,USA,POL,R3,JUMP,IN,5,1,POL
3,1,38,POL,USA,R4,JUMP,IN,1,2,USA
3,1,39,USA,POL,R4,JUMP,IN,5,0,USA
3,1,40,USA,POL,R4,JUMP,IN,6,2,POL
3,1,41,POL,USA,R5,JUMP,IN,6,3,USA
3,1,42,USA,POL,R5,JUMP,IN,1,1,POL
3,1,43,POL,USA,R6,JUMP,IN,6,3,USA
3,1,44,USA,POL,R6,HYBRID,IN,5,3,POL
3,1,45,POL,USA,R1,JUMP,IN,5,2,POL
3,2,1,USA,POL,R2,JUMP,IN,1,3,POL
3,2,2,POL,USA,R3,JUMP,ERROR,NA,NA,USA
3,2,3,USA,POL,R3,JUMP,IN,5,2,USA
3,2,4,USA,POL,R3,HYBRID,IN,6,3,POL
3,2,5,POL,USA,R4,JUMP,IN,5,2,USA
3,2,6,USA,POL,R4,JUMP,IN,6,3,POL
3,2,7,POL,USA,R5,JUMP,IN,5,1,USA
3,2,8,USA,POL,R5,JUMP,IN,5,3,POL
