match_id,set_number,rally_number,serving_team,receiving_team,rotation_number,serve_type,serve_result,serve_zone,pass_quality,rally_winner
1.0,1,1,POL,ITA,R5,JUMP,IN,1.0,2.0,POL
1.0,1,2,POL,ITA,R5,JUMP,ERROR,,,ITA
1.0,1,3,ITA,POL,R2,JUMP,ERROR,,,POL
1.0,1,4,POL,ITA,R6,HYBRID,IN,5.0,1.0,ITA
1.0,1,5,ITA,POL,R3,FLOAT,IN,4.0,3.0,ITA
1.0,1,6,ITA,POL,R3,FLOAT,IN,4.0,3.0,ITA
1.0,1,7,ITA,POL,R3,FLOAT,IN,6.0,3.0,POL
1.0,1,8,POL,ITA,R1,FLOAT,IN,6.0,3.0,ITA
1.0,1,9,ITA,POL,R4,JUMP,IN,6.0,1.0,POL
1.0,1,10,POL,ITA,R2,FLOAT,IN,6.0,3.0,ITA
1.0,1,11,ITA,POL,R5,JUMP,IN,1.0,2.0,POL
1.0,1,12,POL,ITA,R3,JUMP,ERROR,,,ITA
1.0,1,13,ITA,POL,R6,JUMP,IN,1.0,1.0,POL
1.0,1,14,POL,ITA,R4,JUMP,IN,6.0,3.0,POL
1.0,1,15,POL,ITA,R4,JUMP,ERROR,,,ITA
1.0,1,16,ITA,POL,R1,JUMP,IN,6.0,3.0,POL
1.0,1,17,POL,ITA,R5,JUMP,IN,5.0,1.0,POL
1.0,1,18,POL,ITA,R5,JUMP,ERROR,,,ITA
1.0,1,19,ITA,POL,R2,JUMP,IN,6.0,1.0,ITA
1.0,1,20,ITA,POL,R2,JUMP,IN,6.0,2.0,POL
1.0,1,21,POL,ITA,R6,JUMP,IN,6.0,3.0,POL
1.0,1,22,POL,ITA,R6,JUMP,IN,1.0,1.0,ITA
1.0,1,23,ITA,POL,R3,FLOAT,IN,6.0,2.0,POL
1.0,1,24,POL,ITA,R1,FLOAT,IN,5.0,2.0,POL
1.0,1,25,POL,ITA,R1,FLOAT,IN,4.0,2.0,ITA
1.0,1,26,ITA,POL,R4,JUMP,IN,1.0,1.0,ITA
1.0,1,27,ITA,POL,R4,JUMP,IN,1.0,0.0,ITA
1.0,1,28,ITA,POL,R4,JUMP,IN,1.0,3.0,POL
1.0,1,29,POL,ITA,R2,JUMP,IN,5.0,2.0,ITA
1.0,1,30,ITA,POL,R5,JUMP,IN,6.0,1.0,ITA
1.0,1,31,ITA,POL,R5,JUMP,IN,1.0,1.0,POL
1.0,1,32,POL,ITA,R3,JUMP,IN,6.0,3.0,ITA
1.0,1,33,ITA,POL,R6,JUMP,IN,1.0,2.0,ITA
1.0,1,34,ITA,POL,R6,JUMP,ERROR,,,POL
1.0,1,35,POL,ITA,R4,JUMP,ERROR,,,ITA
1.0,1,36,ITA,POL,R1,JUMP,IN,5.0,2.0,POL
1.0,1,37,POL,ITA,R5,JUMP,ERROR,,,ITA
1.0,1,38,ITA,POL,R2,JUMP,ACE,,,ITA
1.0,1,39,ITA,POL,R2,JUMP,ERROR,,,POL
1.0,1,40,POL,ITA,R6,HYBRID,IN,5.0,3.0,POL
1.0,1,41,POL,ITA,R6,JUMP,IN,6.0,1.0,POL
1.0,1,42,POL,ITA,R6,HYBRID,ACE,,,POL
1.0,1,43,POL,ITA,R6,HYBRID,IN,6.0,1.0,ITA
1.0,1,44,ITA,POL,R3,JUMP,IN,6.0,2.0,POL
1.0,1,45,POL,ITA,R1,JUMP,IN,5.0,1.0,POL
1.0,1,46,POL,ITA,R1,JUMP,IN,5.0,3.0,POL
1.0,1,47,POL,ITA,R1,JUMP,IN,6.0,2.0,POL
1.0,2,1,ITA,POL,R1,FLOAT,IN,1.0,3.0,POL
1.0,2,2,POL,ITA,R3,JUMP,IN,6.0,2.0,POL
1.0,2,3,POL,ITA,R3,JUMP,IN,1.0,2.0,POL
1.0,2,4,POL,ITA,R3,JUMP,ERROR,,,ITA
1.0,2,5,ITA,POL,R2,JUMP,ERROR,,,POL
1.0,2,6,POL,ITA,R4,JUMP,IN,6.0,3.0,ITA
1.0,2,7,ITA,POL,R3,FLOAT,IN,6.0,2.0,ITA
1.0,2,8,ITA,POL,R3,FLOAT,IN,6.0,3.0,POL
1.0,2,9,POL,ITA,R5,JUMP,IN,6.0,1.0,POL
1.0,2,10,POL,ITA,R5,JUMP,IN,5.0,3.0,ITA
1.0,2,11,ITA,POL,R4,JUMP,IN,6.0,1.0,POL
1.0,2,12,POL,ITA,R6,HYBRID,IN,6.0,3.0,ITA
1.0,2,13,ITA,POL,R5,HYBRID,ACE,,,ITA
1.0,2,14,ITA,POL,R5,JUMP,IN,1.0,3.0,ITA
1.0,2,15,ITA,POL,R5,JUMP,IN,6.0,2.0,POL
1.0,2,16,POL,ITA,R1,HYBRID,IN,5.0,3.0,ITA
1.0,2,17,ITA,POL,R6,JUMP,ERROR,,,POL
1.0,2,18,POL,ITA,R2,JUMP,IN,5.0,3.0,POL
1.0,2,19,POL,ITA,R2,JUMP,ERROR,,,ITA
1.0,2,20,ITA,POL,R1,JUMP,ACE,,,ITA
1.0,2,21,ITA,POL,R1,JUMP,IN,2.0,3.0,POL
1.0,2,22,POL,ITA,R3,JUMP,IN,1.0,3.0,POL
1.0,2,23,POL,ITA,R3,JUMP,IN,6.0,2.0,ITA
1.0,2,24,ITA,POL,R2,HYBRID,IN,6.0,3.0,ITA
1.0,2,25,ITA,POL,R2,JUMP,IN,6.0,3.0,POL
1.0,2,26,POL,ITA,R4,JUMP,IN,6.0,3.0,ITA
1.0,2,27,ITA,POL,R3,FLOAT,IN,6.0,3.0,POL
1.0,2,28,POL,ITA,R5,JUMP,IN,5.0,3.0,POL
1.0,2,29,POL,ITA,R5,JUMP,IN,6.0,2.0,POL
1.0,2,30,POL,ITA,R5,JUMP,IN,1.0,3.0,ITA
1.0,2,31,ITA,POL,R4,JUMP,IN,6.0,2.0,ITA
1.0,2,32,ITA,POL,R4,JUMP,IN,1.0,1.0,ITA
1.0,2,33,ITA,POL,R4,JUMP,IN,1.0,1.0,POL
1.0,2,34,POL,ITA,R6,HYBRID,IN,6.0,1.0,ITA
1.0,2,35,ITA,POL,R5,JUMP,IN,6.0,0.0,POL
1.0,2,36,POL,ITA,R1,HYBRID,IN,2.0,3.0,ITA
1.0,2,37,ITA,POL,R6,HYBRID,IN,1.0,3.0,POL
1.0,2,38,POL,ITA,R2,JUMP,IN,6.0,3.0,POL
1.0,2,39,POL,ITA,R2,JUMP,ERROR,,,ITA
1.0,2,40,ITA,POL,R1,JUMP,ACE,,,ITA
1.0,2,41,ITA,POL,R1,JUMP,IN,5.0,2.0,ITA
